校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
046552,半導體應用學士學位學程(桃園校區),28,底,--,底,--,--,--,--,國數A
,,,--,--,--,--,--,--,,3 
046562,醫療資訊與管理學系健康產業管理組(桃園校區),36,--,--,--,--,底,--,--,英社
,,,--,--,--,--,3,--,,8 
046572,醫療資訊與管理學系醫療資訊組(桃園校區),26,--,--,--,--,底,--,--,國社
,,,--,--,--,--,3,--,,8 
046582,生物科技學系生物醫學組(桃園校區),20,--,底,--,--,--,底,--,國英自
,,,--,--,--,--,--,3,,5 
046592,生物科技學系食品生技組(桃園校區),40,--,--,--,--,--,底,--,國英自
,,,--,--,--,--,--,3,,5 
046602,生物醫學工程學系專利醫材法規組(桃園校區),12,底,--,--,--,--,--,--,國英
,,,3,--,--,--,--,--,,8 
046612,生物醫學工程學系人工智慧醫療組(桃園校區),13,底,--,--,--,--,--,--,國自
,,,--,--,--,--,--,3,,8 
046622,影音新聞暨社群傳播學系(青年儲蓄帳戶組．臺北校區),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
046632,國際事務與外交學士學位學程(青年儲蓄帳戶組．全英語授課．桃園校區),1,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
046642,應用英語學系(青年儲蓄帳戶組．桃園校區),1,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
046652,金融科技應用學士學位學程(青年儲蓄帳戶組．桃園校區),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
