校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
050532,金融管理學系財務數理組(高雄校區),12,--,--,--,--,底,--,--,--
,,,4,--,--,--,15,--,,--
050542,資訊管理學系物聯網應用組(高雄校區),19,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
050552,資訊管理學系人工智慧與雲端應用組(高雄校區),19,--,--,--,--,--,底,--,--
,,,15,--,--,--,--,3,,--
050562,資訊科技與通訊學系App設計組(高雄校區),12,--,--,--,底,--,--,--,--
,,,4,--,--,--,--,--,,--
050572,資訊科技與通訊學系人工智慧物聯網組(高雄校區),12,--,--,底,底,--,--,--,--
,,,4,--,--,--,--,--,,--
050582,資訊科技與通訊學系智慧機器人組(高雄校區),10,--,--,底,底,--,--,--,--
,,,--,--,--,--,--,5,,--
050592,資訊科技與通訊學系無人機組(高雄校區),14,--,--,底,底,--,--,--,--
,,,--,3.5,--,--,--,--,,--
050602,資訊模擬與設計學系數位3D動畫設計組(高雄校區),5,--,--,--,--,底,--,--,--
,,,--,--,--,--,10,--,,--
050612,資訊模擬與設計學系互動遊戲設計組(高雄校區),6,--,--,底,底,--,--,--,--
,,,8,--,--,--,--,--,,--
050622,資訊模擬與設計學系AR/VR體感科技組(高雄校區),4,底,--,--,--,--,--,--,--
,,,12.5,--,--,--,--,--,,--
050632,電腦動畫學士學位學程3D組(高雄校區),8,--,--,底,底,--,--,--,--
,,,6,--,--,--,--,--,,--
050642,視覺特效學士學位學程影視視覺特效組(高雄校區),13,--,--,底,底,--,--,--,--
,,,3.5,--,--,--,--,--,,--
050652,視覺特效學士學位學程遊戲視覺特效組(高雄校區),13,--,--,底,底,--,--,--,--
,,,--,3.5,--,--,--,--,,--
050662,服飾設計與經營學系品牌經營與行銷組(高雄校區),9,--,--,--,--,底,--,--,--
,,,--,--,--,--,5.5,--,,--
050672,服飾設計與經營學系服裝設計與數位應用組(高雄校區),11,底,--,--,--,--,--,--,--
,,,4.5,--,--,--,--,--,,--
050682,觀光管理學系餐飲暨旅館管理組(高雄校區),10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
050692,觀光管理學系旅運事業組(高雄校區),7,--,--,--,--,底,--,--,--
,,,--,--,--,--,7,--,,--
050702,休閒產業管理學系休閒文創規劃組(高雄校區),8,底,--,--,--,--,--,--,--
,,,6,--,--,--,--,--,,--
050712,休閒產業管理學系遊憩運動企劃組(高雄校區),9,--,--,--,底,--,--,--,--
,,,--,--,--,5.5,--,--,,--
050722,休閒產業管理學系精品咖啡烘焙經營組(高雄校區),9,--,--,--,--,底,--,--,--
,,,--,--,--,--,5.5,--,,--
050732,應用日文學系(高雄校區),10,--,底,--,--,--,--,--,--
,,,--,--,--,--,5,--,,--
050742,應用日文學系商務組(高雄校區),10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
050752,應用日文學系翻譯組(高雄校區),10,--,--,--,--,底,--,--,--
,,,15,--,--,--,5,--,,--
050762,應用日文學系實習組(高雄校區),10,底,--,--,--,--,--,--,--
,,,15,--,--,--,5,--,,--
050782,服飾設計與經營學系藝術創作設計組(高雄校區),24,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050792,時尚設計學系視覺影像設計組(高雄校區),18,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050802,時尚設計學系整體造型設計組(高雄校區),25,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050812,電腦動畫學士學位學程2D組(高雄校區),11,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050822,電腦動畫學士學位學程2D3D通修組(高雄校區),12,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050832,資訊模擬與設計學系遊戲美術設計組(高雄校區),16,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050842,資訊管理學系運動資訊應用組(高雄校區),10,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
050852,觀光管理學系運動暨自然旅遊組(高雄校區),10,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
