校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
051582,資訊管理學系大數據分析組,9,底,--,--,--,--,--,--,--
,,,--,--,--,5.5,--,--,,--
051592,資訊管理學系人工智慧應用組,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
051602,資訊工程學系,28,--,底,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
051612,美術學系藝術創作組,12,--,--,--,--,--,--,--,--
,,,8,--,--,--,--,--,,--
051622,美術學系應用藝術組,5,--,--,--,--,--,--,--,--
,,,15,--,--,--,12,--,,--
051642,書畫藝術學系乙組,8,--,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
051652,台灣文化創意產業學士學位學程,17,--,--,--,--,--,--,--,--
,,,6,--,--,--,--,--,,--
051662,運動競技學系,8,--,--,--,--,--,--,--,--
,,,18,--,--,--,15,--,,--
